,source_language,split,target_language
3213,he is an ideal husband for me .,test,c'est un mari idã©al pour moi.
3214,i am so exhausted !,test,je suis si ã©puisã©e !
3215,i am not ready yet .,test,je ne suis pas encore prãªte.
3216,she is a good swimmer .,test,c'est une bonne nageuse.
3217,they are here .,test,ils sont lã .
3218,he is wearing glasses .,test,il porte des lunettes.
3219,i am looking for a book about medieval spain .,test,je cherche un livre ã  propos de l'espagne mã©diã©vale.
3220,you are very courageous .,test,vous ãªtes trã¨s courageux.
3221,he is roasting coffee beans .,test,il torrã©fie des fã¨ves de cafã©.
3222,she is not so much a singer as a comedian .,test,elle n'est pas aussi bonne chanteuse que comique.
3223,i am working hard trying to learn english .,test,je travaille dur pour essayer d'apprendre l'anglais.
3224,he is actually not the manager .,test,"en rã©alitã©, il n'est pas le directeur."
3225,he is employed in a bank .,test,il est employã© de banque.
3226,she is a friend of mine .,test,c'est une amie ã  moi.
3227,i am pleased to meet you .,test,je suis ravie de te rencontrer.
3228,he is careless about money .,test,il est nã©gligent pour ce qui concerne l'argent.
3229,i am very sensitive to heat .,test,je suis trã¨s sensible ã  la chaleur.
3230,she is always neatly dressed .,test,elle est toujours soigneusement habillã©e.
3231,he is quite a savage .,test,il est assez sauvage.
3232,we are going to have a baby .,test,nous allons avoir un bã©bã©.
3233,we are very similar .,test,nous sommes trã¨s semblables.
3234,he is younger than me by three years .,test,il est trois ans plus jeune que moi.
3235,i am okay .,test,je vais bien.
3236,they are melons .,test,ce sont des melons.
3237,i am so sick .,test,je suis si malade.
3238,he is unable to concentrate on his academic work .,test,il est incapable de se concentrer sur son travail scolaire.
3239,i am in trouble .,test,je suis mal barrã©.
3240,we are all looking forward to your coming .,test,nous nous rã©jouissons de votre venue.
3241,i am acting for my father .,test,j'agis pour mon pã¨re.
3242,you are in over your head .,test,tu es dedans jusqu'au cou.
3243,she is no less beautiful than her mother .,test,elle n'est pas moins belle que sa mã¨re.
3244,"she is not home , but at school .",test,elle n'est pas ã  la maison mais ã  l'ã©cole.
3245,you are very insensitive .,test,vous ãªtes trã¨s indã©licate.
3246,i am living with my uncle .,test,j'habite avec mon oncle.
3247,he is sitting on the chair .,test,il est assis sur la chaise.
3248,he is sure to succeed .,test,il est sã»r de son succã¨s.
3249,you are early .,test,vous ãªtes en avance.
3250,you are a good person .,test,t'es une bonne fille.
3251,he is absent because of illness .,test,il est absent pour cause de maladie.
3252,you are the one .,test,tu es celui-lã .
3253,they are n't afraid of death .,test,ils n'ont pas peur de la mort.
3254,they are very big apples .,test,ce sont de trã¨s grosses pommes.
3255,he is eager to go there .,test,il est impatient de s'y rendre.
3256,she is learning the piano .,test,elle apprend ã  jouer du piano.
3257,we are all happy to help .,test,nous sommes tous contents d'aider.
3258,he is the chief of my department .,test,il est le chef de mon dã©partement.
3259,she is holding her baby in her arms .,test,elle tient son bã©bã© dans ses bras.
3260,i am sorry for you .,test,je suis dã©solã© pour toi.
3261,i am taking french next year .,test,je prends franã§ais l'annã©e prochaine.
3262,i am amazed at your audacity .,test,je suis ã©tonnã© par ton audace.
3263,she is very nervous and is always ill at ease .,test,elle est extrãªmement nerveuse et toujours agitã©e.
3264,she is gentle .,test,elle est gentille.
3265,he is very fond of music .,test,il aime beaucoup la musique.
3266,he is foolish .,test,il est idiot.
3267,she is good at imitating him .,test,elle est bonne pour l'imiter.
3268,i am tired of my monotonous life .,test,j'en ai assez de ma vie monotone.
3269,he is a famous artist .,test,c'est un artiste cã©lã¨bre.
3270,i am in agreement with most of what he says .,test,je suis en accord avec l'essentiel de ce qu'il dit.
3271,she is fit for the job .,test,elle est apte pour le poste.
3272,they are typical young people .,test,c'ã©taient des jeunes gens habituels.
3273,he is not as clever as my brother .,test,il n'est pas aussi malin que mon frã¨re.
3274,he is anything but honest .,test,il est tout sauf honnãªte.
3275,i am very busy these days .,test,je suis trã¨s occupã© ces jours-ci.
3276,i am thinking of going abroad next year .,test,je pense partir ã  l'ã©tranger l'annã©e prochaine.
3277,he is not old enough to vote .,test,il n'est pas assez ã¢gã© pour voter.
3278,she is in bed with a cold .,test,"elle est au lit, enrhumã©e."
3279,he is too honest to tell a lie .,test,il est trop honnãªte pour dire un mensonge.
3280,he is skating .,test,il patine.
3281,i am suffering from a bad cold .,test,je souffre d'un mauvais rhume.
3282,he is a student .,test,il est ã©tudiant.
3283,he is extremely pessimistic and has no aspirations .,test,il est extrãªmement pessimiste et n'a pas d'ambitions.
3284,she is dressed like a bride .,test,elle est habillã©e en mariã©e.
3285,she is a difficult person to deal with .,test,c'est une personne avec laquelle il est difficile de traiter.
3286,he is a good doctor .,test,c'est un bon mã©decin.
3287,she is in need of help .,test,elle a besoin d'aide.
3288,you are not kind .,test,vous n'ãªtes pas gentil.
3289,she is behind in her rent .,test,elle est en retard sur son loyer.
3290,he is our teacher and a person we should respect .,test,c'est notre professeur et il faut respecter sa personne.
3291,they are reading their book .,test,ils lisent leur livre.
3292,he is working in aids research .,test,il travaille dans la recherche sur le sida.
3293,she is everything to him .,test,elle est tout pour lui.
3294,they are doctors .,test,ils sont mã©decins.
3295,he is more clever than i am .,test,il est plus intelligent que moi.
3296,we are n't married .,test,nous ne sommes pas mariã©es.
3297,he is now staying in paris .,test,il sã©journe actuellement ã â paris.
3298,she is almost as tall as you .,test,elle est presque aussi grande que vous.
3299,he is writing a letter to his parents now .,test,il est en train d'ã©crire une lettre ã  ses parents.
3300,he is too old .,test,il est trop vieux.
3301,she is knitting a sweater .,test,elle tricote un chandail.
3302,he is in front of the door .,test,il est devant la porte.
3303,you are rich .,test,vous ãªtes riches.
3304,you are always welcome .,test,vous serez toujours la bienvenue.
3305,i am against working on sundays .,test,je suis contre le travail du dimanche.
3306,she is good-natured .,test,elle a une bonne nature.
3307,he is very friendly to us .,test,il est trã¨s amical avec nous.
3308,they are all alike .,test,ils sont tous semblables.
3309,i am so busy that i ca n't help you .,test,je suis tellement occupã© que je ne peux pas vous aider.
3310,he is n't actually the manager .,test,"il n'est pas le gã©rant, en fait."
3311,she is on the teaching staff .,test,elle fait partie du personnel enseignant.
3312,"she is two years old , but she can already count to 100 .",test,"elle n'a que deux ans, mais elle sait dã©jã  compter jusqu'ã  100."
3313,he is afraid of his own shadow .,test,il a peur de son ombre.
3314,she is canadian .,test,elle est canadienne.
3315,he is no fool .,test,il n'est pas idiot.
3316,i am sure .,test,je suis sã»r.
3317,she is fond of playing tennis .,test,elle adore jouer au tennis.
3318,i am on holiday this week .,test,je suis en vacances cette semaine.
3319,he is a painter .,test,c'est un peintre.
3320,he is something of a musician .,test,c'est un sacrã© musicien.
3321,he is not as smart as his older brother .,test,il n'est pas aussi intelligent que son frã¨re ainã©.
3322,they are bored .,test,ils s'ennuient.
3323,you are n't likely to find that word in a dictionary that 's this small .,test,il est improbable que vous trouviez ce mot dans un dictionnaire aussi petit.
3324,they are not sisters .,test,elles ne sont pas så“urs.
3325,he is n't who he says he is .,test,il n'est pas ce qu'il prã©tend ãªtre.
3326,you are very brave .,test,vous ãªtes trã¨s courageuse.
3327,i am not a prophet .,test,je ne suis pas un prophã¨te.
3328,she is related to him .,test,elle lui est apparentã©e.
3329,he is the captain of the team .,test,il est capitaine de l'ã©quipe.
3330,he is taller than his father .,test,il est plus grand que son pã¨re.
3331,they are about to start .,test,elles sont sur le point de commencer.
3332,we are worried about you .,test,nous sommes inquiets ã  votre sujet.
3333,he is going to run for mayor .,test,il va se prã©senter aux ã©lections municipales.
3334,he is anxious to read the book .,test,il est impatient de lire le livre.
3335,he is too dumb to fear danger .,test,il est trop stupide pour craindre le danger.
3336,she is certain to be surprised .,test,elle est assurã©e d'ãªtre surprise.
3337,i am tired of hearing it .,test,je suis fatiguã© de l'entendre.
3338,we are busy preparing for our wedding and honeymoon .,test,nous sommes occupã©s ã  prã©parer notre mariage et notre lune de miel.
3339,i am glad that the matter was settled amicably .,test,je suis heureux que cette affaire se soit rã©glã©e ã  l'amiable.
3340,we are n't going to stay at that hotel again .,test,nous ne resterons plus dans cet hã´tel.
3341,they are my friends .,test,ils sont mes amis.
3342,they are well looked after .,test,on s'occupe bien d'eux.
3343,he is one of the best brains in our country .,test,c'est l'un des meilleurs cerveaux du pays.
3344,i am at home .,test,je suis ã  la maison.
3345,she is a real beauty .,test,elle est une vrai beautã©.
3346,she is no ordinary student .,test,ce n'est pas une ã©lã¨ve ordinaire.
3347,i am not certain about that .,test,je n'en suis pas sã»r.
3348,he is impossible to beat .,test,il est impossible de le battre.
3349,he is a sort of painter .,test,il est une sorte de peintre.
3350,i am loved by my mother .,test,ma mã¨re m'aime.
3351,he is a bus driver .,test,il est conducteur de bus.
3352,he is opening the window .,test,il est en train d'ouvrir la fenãªtre.
3353,we are looking forward to seeing you again .,test,nous nous rã©jouissons de vous revoir.
3354,she is used to staying up all night .,test,elle est accoutumã©e ã  veiller toute la nuit.
3355,he is a lazy fellow .,test,c'est un type paresseux.
3356,they are not at all interested .,test,ils ne sont pas du tout intã©ressã©s.
3357,she is really a good girl .,test,c'est vraiment une bonne fille.
3358,he is a man whose heart is filled with hope .,test,c'est un homme dont le cå“ur est plein d'espoir.
3359,he is familiar with japanese culture .,test,il est familier de la culture japonaise.
3360,he is capable of treachery .,test,il est capable de trahison.
3361,you are so stupid .,test,vous ãªtes tellement idiote !
3362,i am forbidden to stay out after 10 o'clock .,test,je n'ai pas le droit de rester dehors aprã¨s 10 heures.
